"il_kodu","city","long","lat","mean_iq","kutuphaneye_giden_cocuk_orani","ogretmen_basina_düsen_ortalama_ogrenci_sayisi(ilkokul, ortaokul, lise","akraba_evliligi_orani","okumus_orani","okumamis_orani"
"43",78,"Karabük",41.2061,32.62035,100.85,0.941880907567892,10.67,0.944767441860465,0.160869243967916,0.0635144121438013
"44",70,"Karaman",37.17593,33.228748,102.52,0.419714473841733,12.67,2.00242718446602,0.126126338170164,0.039035929059819
"45",36,"Kars",40.616667,43.1,95.84,0.311285805640698,13,5.96363636363636,0.101013256213082,0.0832926790746974
"46",37,"Kastamonu",41.38871,33.78273,99.98,0.150292786978792,11.33,1.1437908496732,0.121346415960593,0.0926066151757413
"47",38,"Kayseri",38.73122,35.478729,101.42,0.404766552106677,15.33,2.59332480520991,0.139771572086348,0.042899704879859
"48",79,"Kilis",36.718399,37.12122,99.14,0.647047855811063,17.67,6.30630630630631,0.110755504510057,0.050310941789456
"49",71,"Kırıkkale",39.846821,33.515251,100.46,0.990912657929844,11.33,2.17149220489978,0.136467852875642,0.0505233169359497
"50",39,"Kırklareli",41.733333,27.216667,103.38,0.605303680890758,13,0.826901874310915,0.148461451275374,0.0328277173747778
"51",40,"Kırşehir",39.14249,34.17091,101.74,3.0911767762497,10.67,3.09433962264151,0.142444515762708,0.0549904954699188
"52",41,"Kocaeli",40.85327,29.88152,103.85,0.0671265602327545,15,1.96616774422106,0.154980978922102,0.0340151347497419
"53",42,"Konya",37.866667,32.483333,102.36,0.322981093934859,14,2.90271787499144,0.127771308699478,0.0422160691904961
"54",43,"Kütahya",39.416667,29.983333,101.65,0.512090001065198,12,0.48695652173913,0.13587416419277,0.05532627694698
"55",44,"Malatya",38.35519,38.30946,99.75,0.140686427881542,13.33,3.53255288560279,0.147279186658662,0.0717280526349739
"56",45,"Manisa",38.619099,27.428921,99.06,0.525240040741122,13.33,1.99593641687582,0.120978949632432,0.0510459005002013
"57",47,"Mardin",37.321163,40.724477,99.32,0.116852646128839,15.67,13.6347886347886,0.086560916140566,0.106232947552169
"58",33,"Mersin",36.8,34.633333,100.71,0.178951337348668,14.33,4.03565238920525,0.138677206292739,0.0536067557205137
"59",48,"Muğla",37.215278,28.363611,104.12,0.346146998744401,12,1.09078704480618,0.176343686330467,0.0302845900119208
"60",49,"Muş",38.946189,41.753893,97.73,0.492968717232784,14.67,12.5984251968504,0.0748010906870794,0.105994157380989
"61",50,"Nevşehir",38.69394,34.685651,100.01,0.665345078835777,11.67,2.57599175682638,0.12486801634302,0.0459893363763354
"62",51,"Niğde",37.966667,34.683333,99.6,0.236782652447145,12.67,4.58958517210944,0.111008614332548,0.0519621842124887
"63",52,"Ordu",40.983879,37.876411,99.58,0.674864388746446,12,1.62866449511401,0.118862621486735,0.103641975308642
"64",80,"Osmaniye",37.213026,36.176261,100.39,0.242507930365237,14.67,3.84615384615385,0.126461108802018,0.0575638585668555
